,AcrobotAgentv1.0,AcrobotAgentv1.1,AcrobotAgentv1.2,AcrobotAgentv1.3
916,-500,-140,-103,-253
917,-500,-97,-87,-289
918,-500,-93,-116,-135
919,-500,-105,-111,-116
920,-500,-96,-97,-112
921,-500,-91,-138,-127
922,-500,-128,-153,-98
923,-500,-96,-115,-137
924,-500,-91,-117,-202
925,-500,-97,-151,-134
926,-500,-100,-141,-115
927,-500,-101,-143,-128
928,-500,-102,-111,-153
929,-500,-99,-112,-500
930,-500,-99,-170,-192
931,-500,-97,-128,-114
932,-500,-92,-150,-105
933,-500,-122,-118,-136
934,-500,-117,-88,-120
935,-500,-135,-135,-356
936,-500,-121,-118,-100
937,-500,-95,-118,-458
938,-500,-92,-118,-97
939,-500,-107,-129,-118
940,-500,-119,-88,-105
941,-500,-146,-121,-148
942,-500,-102,-102,-180
943,-500,-95,-117,-175
944,-500,-91,-119,-134
945,-500,-103,-132,-145
946,-500,-116,-87,-169
947,-500,-96,-138,-107
948,-500,-105,-118,-110
949,-500,-100,-140,-98
950,-500,-104,-118,-147
951,-500,-96,-102,-119
952,-500,-115,-144,-354
953,-500,-105,-96,-500
954,-500,-102,-131,-103
955,-500,-92,-88,-172
956,-500,-103,-115,-125
957,-500,-103,-96,-272
958,-500,-153,-96,-124
959,-500,-91,-120,-146
960,-500,-131,-129,-219
961,-500,-98,-121,-159
962,-500,-97,-166,-152
963,-500,-105,-120,-136
964,-500,-103,-135,-185
965,-500,-91,-119,-137
966,-500,-97,-109,-201
967,-500,-98,-168,-157
968,-500,-96,-500,-224
969,-500,-103,-126,-163
970,-500,-97,-153,-331
971,-500,-126,-168,-94
972,-500,-142,-134,-107
